GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index,Population,Urbanization_Rate,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Climate_Index,Work_Life_Balance,Internet_Access,Crime_Rate,Political_Stability,Employment_Rate
24399.92,0.76,64.57,0.38,-0.01,0.6,9.64,0.8,306170585,86.01,7.26,0.67,42.12,51.63,3.29,47.88,5.35,72.89,25.55,0.65,52.66
50762.99,0.02,62.83,0.56,0.24,0.13,8.82,0.83,164136089,40.65,8.4,1.0,68.99,34.94,5.58,82.64,4.52,46.5,12.12,0.29,74.05
45574.18,0.32,50.45,0.55,0.26,0.81,17.52,0.9,1439232449,48.72,6.41,0.84,74.29,53.37,8.53,47.65,8.44,59.05,51.09,0.42,53.32
45776.98,0.47,80.88,0.81,0.11,0.15,16.46,0.68,1059144927,45.75,7.08,0.82,91.7,53.05,7.68,64.13,8.72,92.54,32.41,0.91,60.31
31580.59,0.14,50.82,0.64,-0.17,0.34,4.45,0.97,197759195,59.22,8.84,0.15,54.29,56.43,7.83,76.42,3.8,56.15,70.62,0.8,95.33
58151.11,0.07,70.06,0.6,-0.15,0.16,7.67,0.51,1158775488,65.98,5.28,0.42,69.03,45.06,3.34,90.33,3.32,62.51,48.14,0.72,69.8
50861.33,0.95,79.64,0.47,-0.15,0.0,6.61,0.65,747324273,60.88,4.15,0.15,47.98,52.79,8.1,35.4,3.34,48.35,36.71,0.38,59.95
29870.52,0.23,58.06,0.9,0.24,0.09,15.24,0.8,459768720,46.66,8.31,0.29,52.7,39.46,3.74,80.85,6.52,93.95,38.02,0.41,90.74
24520.9,0.23,61.26,0.47,0.02,0.19,16.13,0.92,1039568362,87.47,7.59,0.93,53.88,30.15,8.39,60.68,7.16,53.21,32.32,0.67,79.39
18247.44,0.97,72.02,0.3,0.33,0.23,4.01,0.81,1066463337,81.55,6.83,0.88,61.23,57.72,3.71,64.07,3.46,46.67,51.12,0.21,52.34
22440.16,0.81,59.71,0.38,0.07,0.96,17.88,0.67,1276385526,53.79,7.4,0.57,53.7,50.17,5.9,78.79,3.38,82.88,12.79,0.01,50.11
14631.13,0.83,63.08,0.71,0.41,0.81,15.29,0.86,1327938153,55.55,6.22,0.09,93.89,25.98,6.2,64.78,6.05,67.35,27.17,0.19,90.94
7094.73,0.73,76.4,0.19,-0.18,0.39,5.48,0.82,1117990355,79.08,6.52,1.0,64.17,30.91,4.38,73.06,8.25,70.04,60.46,0.22,89.88
45968.1,0.72,79.26,0.66,0.13,0.52,17.58,0.97,207435272,74.39,8.69,0.96,79.02,50.8,6.18,87.47,6.52,92.51,66.3,0.35,87.87
3102.16,0.65,81.46,0.07,-0.11,0.31,10.44,0.52,784759254,67.69,4.6,0.89,99.42,29.54,2.37,31.99,7.74,91.19,46.46,0.0,79.0
5189.4,0.36,56.68,0.72,0.43,0.38,13.42,0.95,1313145547,55.08,8.33,0.02,82.3,37.29,8.37,52.39,8.71,50.14,10.39,0.62,78.38
30005.19,0.51,52.64,0.26,-0.15,0.21,19.81,0.99,389722720,75.73,6.96,0.58,65.44,38.86,7.13,79.33,4.39,44.63,13.5,0.77,81.64
20626.62,0.17,73.32,0.05,0.49,0.52,2.93,0.64,505585251,30.02,8.59,0.0,80.34,23.37,6.25,82.4,5.13,57.42,41.86,0.69,94.14
1725.15,0.58,84.68,0.9,0.36,0.4,8.45,0.74,992725579,59.24,8.25,0.59,75.08,46.08,2.04,85.38,6.33,81.44,79.02,0.67,51.75
21233.17,0.79,84.79,0.86,0.43,0.62,5.09,0.8,678483966,89.49,7.73,0.42,61.54,24.57,2.68,89.4,7.57,76.74,74.94,0.04,92.75
31867.5,0.95,80.4,0.19,0.17,0.23,18.25,0.57,609494008,59.69,5.73,0.07,45.28,33.6,8.91,84.48,6.38,70.36,36.7,0.18,58.08
19707.35,0.41,50.91,0.96,0.34,0.74,8.26,0.92,705259481,32.16,4.89,0.09,62.8,27.79,3.76,78.22,8.11,69.54,25.19,0.42,79.76
27395.41,0.03,83.78,0.47,0.49,0.14,17.6,0.76,300653667,73.33,4.85,0.62,88.93,42.07,2.58,84.75,7.21,94.01,72.3,0.56,63.04
9816.48,0.41,64.83,0.02,-0.16,0.72,11.11,0.8,820972094,74.83,6.83,0.52,73.6,41.21,2.09,30.85,5.52,50.18,10.92,0.55,81.26
32458.84,0.8,61.15,0.29,0.41,0.49,18.72,0.75,1489219288,70.39,7.73,0.33,46.98,24.91,4.34,88.41,4.34,74.12,60.62,0.69,88.54
1359.16,0.94,73.68,0.8,0.07,0.24,15.5,0.75,773849762,83.08,5.24,0.32,43.79,26.28,8.94,51.25,5.4,45.71,46.05,0.96,72.65
42883.83,0.03,73.09,0.63,0.06,0.08,16.61,0.82,612031797,58.27,7.48,0.11,69.94,55.64,4.67,40.57,6.68,74.97,36.13,0.0,89.21
6738.0,0.17,82.87,0.04,0.14,0.4,9.47,0.94,119062542,37.48,4.26,0.76,99.73,56.69,8.59,91.25,6.51,82.18,33.02,0.64,76.6
21293.68,0.29,81.96,0.33,0.34,0.64,11.28,0.54,1422306054,55.68,5.56,0.36,69.6,56.53,7.72,54.34,5.78,67.32,17.94,0.12,92.98
52353.91,0.57,64.32,0.29,0.4,0.49,11.56,0.66,1207326799,57.62,8.26,0.43,50.71,43.67,7.1,61.89,8.05,42.74,22.92,0.24,50.36
35954.28,0.77,77.12,0.91,0.3,0.24,3.19,0.5,435791886,37.8,4.98,0.35,50.63,22.99,9.54,76.75,5.22,69.31,14.38,0.29,68.81
29419.26,0.81,63.72,0.6,0.12,0.23,5.26,0.56,941803701,57.27,5.83,0.31,51.04,55.93,4.33,88.3,4.15,89.2,41.97,0.59,93.67
9893.21,0.64,53.79,0.41,0.38,0.42,2.03,0.8,1435993623,57.72,6.98,0.41,79.01,52.8,8.91,46.44,3.81,58.95,31.49,0.07,62.91
31345.26,0.87,57.81,0.65,0.29,0.58,10.42,0.7,434976140,52.68,6.47,0.86,85.78,50.88,9.75,87.78,4.53,82.16,14.64,0.86,55.29
15541.13,0.56,66.12,0.23,0.35,0.66,16.24,0.93,929210333,63.3,6.05,0.82,93.04,34.78,8.22,47.17,6.23,69.62,61.37,0.37,89.42
27533.91,0.63,83.4,0.0,0.27,0.89,2.49,0.65,520489023,38.15,4.64,0.1,49.14,40.62,3.38,53.84,7.3,53.48,73.45,0.56,62.06
37126.49,0.57,56.07,0.46,0.32,0.69,12.54,0.91,817292082,65.1,5.77,0.4,50.24,43.91,7.2,97.6,6.18,51.74,37.36,0.99,74.42
24253.86,0.92,50.35,0.52,0.33,0.66,16.29,0.85,1201741602,55.29,7.67,0.52,52.67,48.55,9.34,44.74,7.55,48.87,53.57,0.13,97.58
10945.58,0.36,63.26,0.5,0.3,0.52,18.58,0.94,1248112622,50.85,8.4,0.23,88.64,28.0,6.95,66.64,4.63,68.91,27.7,0.68,64.28
13842.29,0.48,59.05,0.58,0.1,0.68,6.41,0.71,187617861,87.75,7.38,0.19,85.88,38.63,5.99,74.97,3.9,55.0,30.85,0.77,87.95
6762.31,0.23,54.11,0.06,-0.17,0.17,5.97,0.68,786565061,74.93,5.73,0.5,95.01,46.73,5.64,94.77,8.34,63.4,68.83,0.14,82.83
54881.49,0.16,59.88,0.13,0.27,0.4,9.58,0.92,1168341581,73.54,5.2,0.08,87.33,39.06,6.38,48.56,6.88,93.14,57.95,0.52,53.79
44167.11,0.11,53.2,0.25,0.26,0.42,4.7,0.71,1456197672,33.23,7.15,0.15,70.25,38.36,5.53,63.18,3.05,74.31,67.0,0.81,80.08
37396.16,0.59,68.8,0.48,0.09,0.95,5.38,0.9,283833532,31.24,7.29,0.67,69.07,33.76,3.3,80.63,4.91,68.89,46.34,0.35,88.52
52377.82,0.44,70.25,0.97,0.31,0.96,3.25,0.63,243264416,77.84,7.17,0.61,66.36,43.91,2.06,73.6,5.19,89.13,22.04,0.09,54.09
50033.98,0.66,84.33,0.41,0.1,0.09,9.8,0.74,787074867,75.23,7.55,0.37,67.1,34.77,6.29,62.65,6.74,49.62,46.95,0.88,55.79
28774.85,0.68,83.74,0.52,-0.13,0.13,5.52,0.76,425766532,35.58,4.67,0.49,86.4,55.19,7.1,57.37,6.77,56.65,33.43,0.65,69.3
15839.27,0.08,63.89,0.68,0.48,0.76,4.69,0.6,306168077,71.35,5.96,0.61,56.8,47.82,5.14,92.7,8.49,54.01,29.32,0.48,81.14
57884.6,0.2,77.62,0.95,-0.1,0.51,3.71,0.92,1109793997,46.26,6.56,0.75,92.34,37.49,9.07,52.71,8.71,79.29,47.11,0.6,94.46
25087.74,0.55,53.92,0.85,0.07,0.67,7.97,0.88,1114932471,77.71,8.13,0.7,83.68,41.23,7.98,52.3,7.61,41.56,34.55,0.49,65.36
38947.54,0.95,66.4,0.98,0.11,0.58,13.8,0.52,536052709,35.14,8.28,0.12,80.45,36.17,6.56,40.51,3.21,79.06,37.62,0.66,75.17
7067.14,0.5,59.98,0.46,0.41,0.66,8.33,0.77,1371061857,67.47,6.66,0.29,43.67,42.32,8.39,97.86,6.12,57.37,40.23,0.01,80.45
12945.27,0.74,85.0,0.79,0.2,0.61,13.32,0.7,1445526555,58.79,6.01,0.14,90.82,28.87,2.62,77.7,3.83,76.43,59.75,0.84,66.42
48122.55,0.95,66.37,0.16,0.13,0.02,8.43,0.9,79966398,53.64,6.36,0.29,61.3,50.48,3.11,95.27,6.68,93.27,58.42,0.12,66.48
22902.43,0.97,50.53,0.36,0.03,0.69,2.16,0.77,606545863,78.52,5.49,0.0,86.94,59.33,2.34,74.71,3.45,51.17,33.24,0.43,69.02
20382.03,0.64,55.14,0.07,-0.09,0.54,2.54,0.73,529611621,55.1,5.8,0.07,74.83,24.41,9.5,84.52,8.34,70.06,65.73,0.34,70.92
33810.82,0.09,54.02,0.32,0.47,0.57,12.43,0.82,627807528,44.37,4.97,0.75,65.49,51.73,9.55,39.43,6.2,45.84,50.36,0.56,74.5
48596.17,0.3,65.15,0.22,0.17,0.01,16.64,0.97,1121818601,47.52,4.49,0.6,61.5,53.8,7.1,91.57,4.98,77.32,57.47,0.35,53.9
23085.83,0.33,71.22,0.81,0.25,0.41,12.56,0.96,1463796476,50.11,8.63,0.76,67.08,47.43,5.99,69.63,4.15,47.28,46.95,0.71,55.28
43625.22,0.27,70.86,0.35,0.13,0.61,16.42,0.51,259134575,73.45,5.62,0.91,64.75,58.72,3.5,64.22,4.92,45.68,59.45,0.37,58.46
18044.35,0.67,65.49,0.67,0.03,0.07,10.56,0.62,530697074,38.31,4.98,0.82,65.02,35.3,5.91,88.83,4.52,52.56,10.74,0.68,95.54
45971.62,0.84,54.49,0.63,0.08,0.05,3.99,0.61,1315602395,65.53,8.33,0.2,75.14,20.37,7.21,70.16,7.37,94.89,66.65,0.49,50.96
7191.41,0.48,79.14,0.52,0.07,0.1,9.08,0.58,1158973167,31.89,6.88,0.45,63.87,48.32,7.13,32.41,8.65,85.15,48.93,0.69,76.81
36203.11,0.07,78.51,0.89,0.48,0.35,7.16,0.73,355093882,82.5,6.11,0.06,95.3,39.48,3.86,76.38,6.0,84.81,41.99,0.1,85.51
2087.62,0.02,51.72,0.73,0.4,0.16,2.46,0.75,398320207,88.17,6.2,0.15,87.23,20.96,2.01,64.71,6.89,68.92,62.93,0.12,81.39
49446.29,0.43,81.24,0.45,0.06,0.32,16.06,0.51,25382921,33.05,6.1,0.86,99.37,49.99,9.5,48.37,5.36,79.04,25.29,0.69,74.89
7521.94,0.6,75.79,0.01,0.27,0.3,10.2,0.72,186075060,77.53,7.19,0.4,72.85,58.99,6.95,65.01,8.28,47.3,33.71,0.36,58.54
53516.22,0.04,53.92,0.24,0.14,0.67,14.17,0.92,1375521171,67.77,4.29,0.12,51.55,36.4,9.44,77.97,4.29,88.36,32.32,0.43,74.85
43460.17,0.42,79.16,0.41,0.35,0.71,4.14,0.99,1438296880,41.31,7.25,0.51,44.03,37.54,6.36,67.44,8.33,92.83,62.64,0.07,86.36
42800.22,0.85,81.36,0.48,0.43,0.61,3.24,0.58,149249163,79.44,5.3,0.86,97.97,29.92,4.08,50.29,3.84,77.59,32.61,0.92,78.28
42402.13,0.2,53.07,0.31,-0.09,0.35,17.53,0.75,672834739,40.75,4.88,0.93,95.22,34.31,5.53,51.33,8.27,70.95,36.98,0.68,93.29
36260.11,0.92,63.94,0.29,0.31,0.69,16.14,0.92,1189726065,58.88,8.21,0.61,49.56,28.04,4.45,68.97,8.14,69.59,58.52,0.53,78.72
33107.8,0.47,63.84,0.79,0.48,0.95,10.22,0.54,425659774,35.81,5.38,0.37,81.98,34.65,3.18,77.92,7.71,86.72,13.82,0.44,84.44
57185.78,0.36,65.33,0.74,0.03,0.2,13.38,0.66,496073581,51.61,6.14,0.88,52.01,27.99,5.47,88.5,4.18,87.57,79.91,0.89,71.93
37497.22,0.9,80.11,0.85,0.34,0.94,9.93,0.74,655543866,64.01,4.78,0.58,72.69,43.75,8.61,80.57,8.58,49.7,25.08,0.92,67.31
25100.76,0.29,74.22,0.45,0.12,0.16,6.77,0.63,918116571,38.12,5.24,0.6,71.38,23.63,9.11,40.65,5.39,93.55,69.4,0.12,97.82
36381.49,0.54,57.01,0.52,-0.11,0.12,14.65,0.59,315848029,53.19,7.24,0.19,67.88,46.62,4.18,38.74,3.92,85.45,65.97,0.81,92.57
34302.07,0.02,73.41,0.06,0.3,0.03,18.63,0.65,140214258,38.14,8.84,0.97,89.75,55.73,3.89,45.78,7.23,83.72,25.08,0.06,86.44
15001.54,0.85,75.93,0.43,0.22,0.38,2.55,0.54,1182194548,39.77,4.31,0.94,68.68,44.75,8.57,49.06,8.43,69.07,58.56,0.04,84.71
18756.51,0.27,57.24,0.5,0.18,0.14,7.12,0.9,883249096,78.12,8.98,0.56,86.32,25.74,6.95,69.6,3.11,59.44,59.01,0.12,85.81
49340.69,0.63,75.77,0.41,-0.14,0.5,14.4,0.82,583110251,47.77,6.44,0.58,53.23,55.07,3.67,52.88,7.82,85.62,11.8,0.33,51.36
17820.87,0.4,63.1,0.17,0.23,0.48,15.47,0.75,681115186,39.58,4.77,0.12,52.47,57.16,6.25,45.62,8.64,82.63,29.36,0.19,92.56
56369.26,0.26,84.81,0.18,0.23,0.33,16.02,0.59,570675392,77.24,6.41,0.81,53.42,29.01,2.95,93.98,8.23,65.12,25.13,0.98,51.68
56860.68,0.53,83.21,0.31,0.37,0.37,9.53,0.99,404159434,88.04,8.45,0.74,75.76,30.87,5.31,87.82,7.98,60.14,13.22,0.24,50.36
26472.24,0.47,76.95,0.62,-0.14,0.15,16.22,0.8,422247169,89.95,4.8,0.81,97.05,52.15,6.91,36.47,8.72,57.31,41.33,0.97,63.63
20720.54,0.45,59.73,0.1,-0.0,0.88,9.95,0.5,871176948,61.08,5.74,0.73,56.1,36.17,6.31,68.3,3.77,93.34,11.34,0.1,54.1
24973.06,0.36,64.31,0.4,0.34,0.53,3.72,0.86,1423420407,33.8,7.63,0.12,70.49,29.5,6.74,97.29,3.87,73.26,36.68,0.64,97.4
50426.02,0.09,54.66,0.31,0.14,0.06,2.4,0.68,388475337,67.61,4.66,0.16,52.6,50.33,6.22,99.21,6.87,69.67,75.05,0.14,89.47
24309.5,0.12,61.99,0.63,0.29,0.88,7.08,0.82,1155541359,42.96,5.12,0.44,71.23,20.92,5.71,77.41,5.09,43.77,72.21,0.5,66.53
57542.57,0.52,50.48,0.06,0.31,0.19,2.55,0.96,324565733,65.53,7.34,0.12,55.85,23.79,7.54,51.54,6.4,40.43,73.44,0.86,67.76
10482.22,0.76,76.3,0.86,0.3,0.18,7.46,0.59,915180247,77.25,7.89,0.03,61.21,59.95,6.75,92.12,3.95,59.52,55.93,0.29,82.84
28802.96,0.65,52.06,0.98,-0.0,0.44,19.84,0.67,744246392,30.37,8.13,0.87,76.12,21.56,2.17,56.24,4.66,72.75,22.51,0.77,97.53
43133.17,0.68,58.2,0.99,0.09,0.39,13.87,0.98,24817559,50.43,8.37,0.37,60.02,36.51,7.22,49.41,8.39,53.57,16.3,0.69,66.03
25585.81,0.56,51.87,0.34,-0.17,0.24,9.56,0.94,745267253,31.59,5.11,0.14,43.44,43.84,9.36,35.09,4.06,77.55,13.36,0.98,57.01
3193.34,0.16,75.65,0.82,-0.15,0.22,19.49,0.92,1383156267,56.29,8.47,0.25,97.44,49.55,7.89,48.41,7.76,63.45,44.39,0.54,60.84
22009.29,0.68,56.81,0.89,0.46,0.14,12.01,0.87,299064385,39.32,6.04,0.06,60.09,29.85,6.2,54.12,4.35,66.92,28.48,0.8,75.87
15772.01,0.5,76.41,0.2,0.15,0.64,4.91,0.77,242550111,36.44,7.67,0.42,85.55,30.2,8.5,69.0,4.77,77.5,56.3,0.57,93.69
26741.07,0.66,72.39,0.29,-0.12,0.82,12.79,0.84,459938794,61.8,7.5,0.63,51.64,39.07,5.13,56.55,7.36,61.13,30.02,0.95,51.74
26700.78,0.93,56.65,0.6,0.02,0.42,11.47,0.72,130976427,61.18,7.53,0.45,58.19,45.72,3.61,48.33,3.16,58.03,57.03,0.02,61.96
46521.24,0.15,54.54,0.54,0.29,0.39,7.54,0.98,1477212310,87.86,7.67,0.26,84.86,31.79,8.03,85.84,3.89,45.86,65.39,0.47,65.79
57511.34,0.88,74.18,0.06,0.15,0.95,12.84,0.91,373608823,85.75,7.17,0.97,49.22,41.28,5.52,64.16,7.64,85.47,17.96,0.36,60.91
41708.17,0.51,69.32,0.64,0.04,0.16,6.69,0.61,280004456,30.47,6.49,0.9,98.97,38.54,2.96,99.11,6.61,79.5,14.45,0.34,95.44
42728.97,0.76,55.99,0.26,0.28,0.46,12.56,0.93,458280861,34.18,4.62,0.75,80.37,56.36,6.37,55.6,5.48,58.83,24.81,0.66,85.16
56970.71,0.22,65.57,0.09,-0.11,0.08,9.02,0.69,339981864,35.15,4.2,0.19,56.44,45.88,8.23,71.15,3.12,49.39,37.34,0.8,78.71
22166.93,0.49,82.58,0.48,0.25,0.77,7.99,0.55,69626265,56.21,6.97,0.3,84.77,49.44,9.74,90.22,6.96,92.28,70.92,0.19,74.85
41187.12,0.28,54.59,0.93,0.27,0.39,12.9,0.93,1089851134,68.97,7.22,0.45,44.76,53.19,4.3,77.24,5.03,64.87,43.99,0.94,97.98
41817.3,0.04,82.11,0.58,0.24,0.22,6.17,0.69,822872945,34.88,4.59,0.03,88.82,31.92,5.77,98.75,6.1,82.48,21.28,0.85,69.53
59443.35,0.06,73.19,0.16,0.28,0.11,19.0,0.93,480972612,51.46,5.51,0.76,86.09,43.11,3.78,32.0,7.41,61.71,24.68,0.76,61.05
1805.81,0.64,83.44,0.82,0.46,0.31,4.52,0.58,545019399,39.46,6.69,0.4,51.76,58.15,5.61,44.71,7.8,43.65,21.31,0.9,55.23
37165.66,0.19,57.65,0.32,0.38,0.87,10.71,0.55,973484844,76.56,7.27,0.1,46.45,26.59,2.07,73.07,7.45,90.58,55.62,0.2,84.87
36188.19,0.93,81.74,0.66,0.08,0.23,7.4,0.82,1231084487,53.27,4.22,0.05,59.42,32.71,3.22,39.91,6.97,40.97,37.75,0.15,87.91
18734.88,0.72,57.3,0.7,0.26,0.15,19.21,0.6,512211270,89.8,7.19,0.56,48.0,29.27,8.56,85.12,7.37,70.15,55.95,0.8,55.45
17746.92,0.85,63.72,0.25,-0.14,0.95,3.9,0.89,306643993,41.01,4.47,0.58,98.75,49.44,3.63,73.45,5.08,47.44,30.51,0.25,90.48
50879.73,0.94,61.54,0.98,0.42,0.72,2.26,0.53,47604122,34.86,8.96,0.32,98.22,46.29,2.97,79.15,3.75,62.25,65.87,0.55,50.58
51881.86,0.94,56.05,0.98,0.42,0.35,8.13,0.63,1294616182,39.04,6.24,0.62,77.36,54.38,5.54,87.86,3.99,85.99,30.17,0.18,67.29
57569.26,0.54,59.86,0.5,-0.11,0.09,3.75,0.7,979369072,42.83,4.24,0.62,92.53,35.21,3.01,48.93,8.29,65.6,69.12,0.43,96.66
20386.94,0.28,64.36,0.62,-0.18,0.75,12.07,0.79,353580110,37.5,8.1,0.9,71.97,58.44,3.56,51.01,4.98,44.3,76.65,0.82,56.22
7240.96,0.16,56.46,0.52,-0.19,0.72,12.02,0.63,313001525,30.59,6.45,0.97,46.04,50.76,8.19,95.96,5.9,84.2,79.37,0.3,72.42
57654.89,0.98,63.23,0.29,0.14,0.03,18.69,0.61,237843825,61.43,7.22,0.16,79.51,40.86,9.12,38.91,7.96,51.16,60.63,0.7,79.92
55903.16,0.05,82.2,0.09,0.37,0.06,11.41,0.91,1366630556,34.87,6.98,0.46,96.52,30.18,2.38,89.73,5.96,61.31,56.53,0.02,85.29
17580.65,0.02,83.09,0.95,0.16,0.73,4.41,0.58,197137600,66.92,7.76,0.35,71.21,47.83,8.9,97.35,8.22,77.31,47.89,0.14,61.97
18629.38,0.38,66.47,0.53,0.21,0.34,7.59,0.54,256625125,71.05,4.9,0.77,74.1,30.97,6.33,48.33,4.59,82.46,65.84,0.1,91.91
30104.71,0.55,83.91,0.05,-0.03,0.88,14.75,0.79,196958110,78.69,8.16,0.72,43.89,27.37,7.93,50.3,7.53,62.08,66.7,0.03,75.9
28427.38,0.16,57.7,0.1,-0.11,0.47,8.03,0.59,847802947,86.31,5.1,0.48,42.91,55.36,7.54,98.82,3.04,85.77,51.03,0.45,87.83
17667.43,0.25,82.45,0.07,0.19,0.61,18.34,0.88,1001436468,38.67,7.12,0.25,62.75,26.45,3.38,39.83,5.49,75.51,56.83,0.01,55.75
41005.56,1.0,71.79,0.56,-0.14,0.48,4.29,0.93,830726589,42.68,7.25,0.63,49.62,22.6,7.15,94.59,3.9,77.64,18.4,0.81,96.12
17158.44,0.64,52.7,0.44,0.3,0.72,14.5,0.74,1416391769,51.49,7.58,0.25,77.61,49.69,6.2,31.46,6.86,60.18,19.7,0.61,87.61
11447.18,0.57,63.53,0.05,0.04,0.73,7.67,0.51,1183043218,81.56,7.27,0.03,49.07,28.51,5.15,84.4,8.87,91.62,47.84,0.6,96.03
56527.28,0.54,55.96,0.08,0.29,0.87,13.55,0.99,1194906335,56.32,8.44,0.77,71.17,57.51,5.63,42.84,5.01,81.14,22.21,0.03,51.55
5443.96,0.65,53.0,0.19,0.14,0.2,19.38,0.9,1173145799,42.14,8.37,0.05,60.94,43.43,8.69,95.36,3.13,73.87,45.45,0.1,53.51
54400.2,0.68,58.79,0.25,0.05,0.71,8.08,0.75,6580229,75.81,4.46,0.71,88.66,58.81,8.62,65.43,6.33,74.91,44.86,0.3,67.29
37112.68,0.81,71.36,0.84,0.46,0.96,2.58,0.97,786818615,58.38,6.44,0.26,87.75,21.55,6.76,79.02,4.15,88.55,28.07,0.99,57.21
57762.45,0.33,80.94,0.31,0.34,0.85,16.3,0.96,1477120049,66.0,5.52,0.43,60.82,48.85,5.82,86.33,7.7,55.96,58.58,0.04,96.07
37386.03,0.7,53.06,0.09,0.18,0.01,14.03,0.51,330792660,43.39,8.27,0.24,82.63,31.95,4.57,45.02,6.46,89.85,37.79,0.65,59.91
15797.44,0.9,73.42,0.87,0.44,0.14,15.18,0.61,1297564182,33.98,6.65,0.15,62.84,41.11,4.37,54.08,6.08,56.99,53.71,0.26,68.74
51076.41,0.41,66.17,0.65,-0.01,0.56,5.8,0.97,1228262316,66.66,8.71,0.8,71.19,28.17,2.32,88.73,7.91,44.93,46.95,0.45,75.38
55552.14,0.26,65.25,0.04,-0.17,0.28,12.3,0.59,180772281,69.52,8.63,0.52,69.16,24.95,8.76,83.3,6.67,62.29,57.53,0.16,57.5
34579.35,0.7,77.19,0.85,0.42,0.29,4.84,0.98,738132458,33.45,5.49,0.84,74.47,33.98,5.57,33.38,3.75,87.62,22.98,0.46,97.44
29648.41,0.88,73.6,0.97,0.3,0.28,9.11,0.62,1025897502,76.46,5.64,0.91,66.75,51.81,4.39,49.08,8.16,63.21,14.01,0.2,52.59
42624.66,0.34,63.45,0.37,0.16,0.12,7.89,0.94,227881429,58.17,8.56,1.0,88.28,20.42,6.91,39.48,6.32,63.31,76.7,0.87,65.16
16251.87,0.72,70.64,0.19,0.4,0.3,9.32,0.61,687740037,34.08,5.23,0.62,50.62,33.17,7.64,83.91,6.5,90.0,12.72,0.9,66.82
55742.69,0.54,54.92,0.59,0.0,0.34,13.3,0.6,922859575,80.37,5.46,0.3,59.2,31.23,8.68,52.85,8.26,70.56,77.43,0.27,63.24
39620.5,0.48,82.29,0.66,0.08,0.21,10.32,0.52,317058933,82.85,4.84,0.02,41.08,47.57,9.65,32.15,8.14,62.54,16.5,0.81,52.26
13717.05,0.5,50.13,0.35,0.1,0.3,7.76,0.78,615467759,42.35,6.67,0.28,57.98,24.03,9.43,82.72,7.29,74.03,36.03,0.9,56.8
10786.8,0.78,55.96,0.11,-0.05,0.81,19.15,0.97,495711959,34.86,4.93,1.0,81.72,24.07,7.8,42.01,8.12,90.07,74.11,0.31,54.45
22036.82,0.01,68.64,0.94,0.32,0.06,6.89,0.64,1025354337,41.6,6.96,0.52,71.91,26.38,9.54,99.9,5.91,74.18,77.9,0.58,80.05
9143.63,0.57,58.17,0.17,-0.0,0.86,9.62,0.61,311196274,75.48,5.42,0.87,96.43,27.96,2.02,42.77,8.84,83.41,41.27,0.27,57.76
31541.24,0.52,73.51,0.65,0.32,0.32,2.11,0.98,117851213,89.26,7.35,0.51,93.19,23.31,6.43,37.3,3.46,50.56,79.35,0.39,56.83
35666.14,0.46,71.91,0.01,-0.08,0.39,2.56,0.73,194041664,71.72,6.07,0.56,57.0,39.69,7.53,38.52,6.77,68.18,22.35,0.95,62.67
