GDP_per_Capita,Healthy_Life_Expectancy,Freedom,Generosity,Unemployment_Rate,Education_Index,Population,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Political_Stability
25585.81,51.87,0.34,-0.17,9.56,0.94,745267253,5.11,0.14,43.44,43.84,9.36,0.98
3193.34,75.65,0.82,-0.15,19.49,0.92,1383156267,8.47,0.25,97.44,49.55,7.89,0.54
22009.29,56.81,0.89,0.46,12.01,0.87,299064385,6.04,0.06,60.09,29.85,6.2,0.8
15772.01,76.41,0.2,0.15,4.91,0.77,242550111,7.67,0.42,85.55,30.2,8.5,0.57
26741.07,72.39,0.29,-0.12,12.79,0.84,459938794,7.5,0.63,51.64,39.07,5.13,0.95
26700.78,56.65,0.6,0.02,11.47,0.72,130976427,7.53,0.45,58.19,45.72,3.61,0.02
46521.24,54.54,0.54,0.29,7.54,0.98,1477212310,7.67,0.26,84.86,31.79,8.03,0.47
57511.34,74.18,0.06,0.15,12.84,0.91,373608823,7.17,0.97,49.22,41.28,5.52,0.36
41708.17,69.32,0.64,0.04,6.69,0.61,280004456,6.49,0.9,98.97,38.54,2.96,0.34
42728.97,55.99,0.26,0.28,12.56,0.93,458280861,4.62,0.75,80.37,56.36,6.37,0.66
56970.71,65.57,0.09,-0.11,9.02,0.69,339981864,4.2,0.19,56.44,45.88,8.23,0.8
22166.93,82.58,0.48,0.25,7.99,0.55,69626265,6.97,0.3,84.77,49.44,9.74,0.19
41187.12,54.59,0.93,0.27,12.9,0.93,1089851134,7.22,0.45,44.76,53.19,4.3,0.94
41817.3,82.11,0.58,0.24,6.17,0.69,822872945,4.59,0.03,88.82,31.92,5.77,0.85
59443.35,73.19,0.16,0.28,19.0,0.93,480972612,5.51,0.76,86.09,43.11,3.78,0.76
1805.81,83.44,0.82,0.46,4.52,0.58,545019399,6.69,0.4,51.76,58.15,5.61,0.9
37165.66,57.65,0.32,0.38,10.71,0.55,973484844,7.27,0.1,46.45,26.59,2.07,0.2
36188.19,81.74,0.66,0.08,7.4,0.82,1231084487,4.22,0.05,59.42,32.71,3.22,0.15
18734.88,57.3,0.7,0.26,19.21,0.6,512211270,7.19,0.56,48.0,29.27,8.56,0.8
17746.92,63.72,0.25,-0.14,3.9,0.89,306643993,4.47,0.58,98.75,49.44,3.63,0.25
50879.73,61.54,0.98,0.42,2.26,0.53,47604122,8.96,0.32,98.22,46.29,2.97,0.55
51881.86,56.05,0.98,0.42,8.13,0.63,1294616182,6.24,0.62,77.36,54.38,5.54,0.18
57569.26,59.86,0.5,-0.11,3.75,0.7,979369072,4.24,0.62,92.53,35.21,3.01,0.43
20386.94,64.36,0.62,-0.18,12.07,0.79,353580110,8.1,0.9,71.97,58.44,3.56,0.82
7240.96,56.46,0.52,-0.19,12.02,0.63,313001525,6.45,0.97,46.04,50.76,8.19,0.3
57654.89,63.23,0.29,0.14,18.69,0.61,237843825,7.22,0.16,79.51,40.86,9.12,0.7
55903.16,82.2,0.09,0.37,11.41,0.91,1366630556,6.98,0.46,96.52,30.18,2.38,0.02
17580.65,83.09,0.95,0.16,4.41,0.58,197137600,7.76,0.35,71.21,47.83,8.9,0.14
18629.38,66.47,0.53,0.21,7.59,0.54,256625125,4.9,0.77,74.1,30.97,6.33,0.1
30104.71,83.91,0.05,-0.03,14.75,0.79,196958110,8.16,0.72,43.89,27.37,7.93,0.03
28427.38,57.7,0.1,-0.11,8.03,0.59,847802947,5.1,0.48,42.91,55.36,7.54,0.45
17667.43,82.45,0.07,0.19,18.34,0.88,1001436468,7.12,0.25,62.75,26.45,3.38,0.01
41005.56,71.79,0.56,-0.14,4.29,0.93,830726589,7.25,0.63,49.62,22.6,7.15,0.81
17158.44,52.7,0.44,0.3,14.5,0.74,1416391769,7.58,0.25,77.61,49.69,6.2,0.61
11447.18,63.53,0.05,0.04,7.67,0.51,1183043218,7.27,0.03,49.07,28.51,5.15,0.6
56527.28,55.96,0.08,0.29,13.55,0.99,1194906335,8.44,0.77,71.17,57.51,5.63,0.03
5443.96,53.0,0.19,0.14,19.38,0.9,1173145799,8.37,0.05,60.94,43.43,8.69,0.1
54400.2,58.79,0.25,0.05,8.08,0.75,6580229,4.46,0.71,88.66,58.81,8.62,0.3
37112.68,71.36,0.84,0.46,2.58,0.97,786818615,6.44,0.26,87.75,21.55,6.76,0.99
57762.45,80.94,0.31,0.34,16.3,0.96,1477120049,5.52,0.43,60.82,48.85,5.82,0.04
37386.03,53.06,0.09,0.18,14.03,0.51,330792660,8.27,0.24,82.63,31.95,4.57,0.65
15797.44,73.42,0.87,0.44,15.18,0.61,1297564182,6.65,0.15,62.84,41.11,4.37,0.26
51076.41,66.17,0.65,-0.01,5.8,0.97,1228262316,8.71,0.8,71.19,28.17,2.32,0.45
55552.14,65.25,0.04,-0.17,12.3,0.59,180772281,8.63,0.52,69.16,24.95,8.76,0.16
34579.35,77.19,0.85,0.42,4.84,0.98,738132458,5.49,0.84,74.47,33.98,5.57,0.46
29648.41,73.6,0.97,0.3,9.11,0.62,1025897502,5.64,0.91,66.75,51.81,4.39,0.2
42624.66,63.45,0.37,0.16,7.89,0.94,227881429,8.56,1.0,88.28,20.42,6.91,0.87
16251.87,70.64,0.19,0.4,9.32,0.61,687740037,5.23,0.62,50.62,33.17,7.64,0.9
55742.69,54.92,0.59,0.0,13.3,0.6,922859575,5.46,0.3,59.2,31.23,8.68,0.27
39620.5,82.29,0.66,0.08,10.32,0.52,317058933,4.84,0.02,41.08,47.57,9.65,0.81
13717.05,50.13,0.35,0.1,7.76,0.78,615467759,6.67,0.28,57.98,24.03,9.43,0.9
10786.8,55.96,0.11,-0.05,19.15,0.97,495711959,4.93,1.0,81.72,24.07,7.8,0.31
22036.82,68.64,0.94,0.32,6.89,0.64,1025354337,6.96,0.52,71.91,26.38,9.54,0.58
9143.63,58.17,0.17,-0.0,9.62,0.61,311196274,5.42,0.87,96.43,27.96,2.02,0.27
31541.24,73.51,0.65,0.32,2.11,0.98,117851213,7.35,0.51,93.19,23.31,6.43,0.39
35666.14,71.91,0.01,-0.08,2.56,0.73,194041664,6.07,0.56,57.0,39.69,7.53,0.95
22127.03,75.07,0.22,0.07,5.15,0.88,1488145483,7.87,0.32,78.73,22.52,2.52,0.91
15979.16,70.84,0.27,0.07,6.07,0.65,1136596864,6.14,0.21,77.8,31.8,9.31,0.92
8616.68,53.73,0.59,-0.04,3.35,0.6,539368957,4.31,0.0,70.91,38.74,6.25,0.46
21213.33,78.05,0.61,-0.11,6.56,0.73,392726896,4.06,0.99,72.03,29.64,5.26,0.31
6134.98,79.62,0.98,-0.04,3.18,0.96,841126130,8.06,0.08,96.95,35.1,2.57,0.19
59807.29,66.25,0.97,0.29,6.75,0.64,1075969641,7.47,0.25,94.47,33.43,4.58,0.13
12661.22,58.12,0.13,0.06,15.45,0.98,226927073,5.15,0.3,43.66,46.51,8.52,0.09
35370.55,74.79,0.26,-0.05,7.4,0.78,1313678778,8.71,0.96,78.17,39.24,8.91,0.34
25085.09,82.8,0.51,0.24,3.18,0.72,1399297116,4.98,0.19,62.09,29.49,3.28,0.0
50659.81,55.98,0.41,0.36,15.77,0.55,939699145,5.38,0.76,87.17,43.95,5.59,0.12
47614.37,60.0,0.89,0.24,9.0,0.92,734626939,7.01,0.37,61.43,52.61,3.35,0.87
40051.54,65.25,0.56,0.31,9.47,0.55,41435547,5.75,0.87,54.63,20.47,5.6,0.24
42497.12,57.43,0.28,-0.05,18.3,0.55,1400709653,8.47,0.72,55.73,38.89,2.02,0.63
1909.48,74.43,0.52,0.13,17.31,0.8,751490186,4.27,0.31,94.5,38.51,9.68,0.17
27777.34,83.36,0.64,0.39,4.74,0.54,761388933,4.27,0.93,72.62,36.97,2.45,0.31
6265.74,76.23,0.76,0.14,3.15,0.6,869106849,5.2,0.44,60.2,35.26,7.12,0.15
52565.88,53.71,0.56,0.25,16.14,0.98,1124435887,5.51,0.77,93.08,32.79,6.47,0.83
16540.81,81.22,0.67,-0.02,18.88,0.95,1288403700,7.59,0.79,75.14,52.42,3.49,0.27
13083.29,51.15,0.36,-0.09,11.74,0.64,1351065743,7.39,0.58,59.2,40.83,5.53,0.32
31802.34,55.27,0.75,-0.18,4.39,0.75,737155354,5.13,0.73,74.05,52.27,5.66,0.81
40751.29,76.88,0.17,0.4,10.04,0.68,225986812,5.19,0.93,93.81,51.9,2.66,0.49
19982.48,56.52,0.67,0.01,4.1,0.98,397576351,7.28,0.98,86.01,30.14,7.25,0.26
19925.1,78.53,0.53,0.35,19.6,0.53,139210242,5.52,0.79,97.3,30.75,6.79,0.93
22431.52,62.39,0.59,0.0,14.92,0.92,649546362,8.6,0.98,94.01,58.44,7.3,0.52
36177.63,82.74,0.77,0.25,13.47,0.59,543463102,4.68,0.86,59.47,59.73,9.35,0.43
11338.23,77.64,0.61,0.38,19.37,0.65,1066867360,4.19,0.91,95.63,21.19,2.51,0.51
59772.57,67.72,0.62,0.48,13.73,0.58,1230034523,8.99,0.97,91.53,23.12,5.76,0.99
40887.3,54.74,0.43,0.45,9.51,0.96,150794066,8.62,0.46,78.0,36.44,7.09,0.36
2699.28,79.4,0.34,-0.11,12.08,0.54,560312532,6.32,0.64,61.92,30.48,6.62,0.95
26579.04,64.59,0.82,0.46,18.79,0.65,812114658,8.64,0.94,44.42,54.06,9.79,0.47
56414.22,77.03,0.05,-0.1,14.3,0.86,213599100,8.58,0.45,97.08,49.26,9.25,0.05
4922.96,50.72,0.88,0.25,15.59,0.61,828198026,6.71,0.94,49.22,20.97,7.18,0.62
6512.48,62.55,0.28,0.33,15.56,0.57,1351460205,4.0,0.88,81.53,42.48,3.5,0.71
5161.52,76.3,0.17,0.25,6.02,0.9,482327430,4.68,0.99,92.48,53.43,3.55,0.66
39935.53,79.15,0.72,0.11,19.37,0.56,1126224207,4.62,0.22,81.02,29.57,4.02,0.64
13303.12,62.08,0.3,0.25,19.15,0.87,285567761,7.14,0.99,42.97,24.87,5.67,0.23
31986.93,57.42,0.33,0.29,11.91,0.67,1493871316,5.82,0.89,71.0,20.75,8.65,0.92
26968.51,75.66,0.08,0.5,15.64,0.62,119465872,7.35,0.77,42.75,32.22,3.86,0.61
36765.42,69.37,0.92,0.18,13.82,0.99,248642263,4.18,0.33,70.17,30.98,5.86,0.48
48127.54,61.47,0.08,-0.13,16.52,0.72,897683629,4.26,0.08,65.14,24.89,2.68,0.45
1685.97,65.04,0.5,0.15,7.18,0.92,655663034,7.72,0.69,86.91,50.06,8.14,0.9
54422.65,59.51,0.42,0.2,5.94,0.5,1016851904,8.74,0.62,74.44,55.39,5.18,0.01
48987.26,59.22,0.73,0.42,19.27,0.92,1276073349,7.0,0.92,96.8,25.11,9.68,0.75
45663.7,75.35,0.15,0.14,2.03,0.54,324364085,6.44,0.61,76.65,36.35,8.7,0.8
13720.93,70.27,0.51,0.45,16.82,0.79,539919839,8.43,0.33,64.83,34.01,2.79,0.17
6992.76,73.63,0.55,0.37,15.11,0.67,955464343,4.53,0.44,71.88,21.89,5.11,0.83
47568.73,77.07,0.79,0.11,13.37,0.96,367002383,7.42,0.02,75.05,37.08,6.26,0.76
35729.98,51.29,0.52,0.38,7.65,0.61,45043276,7.34,0.07,88.74,24.03,9.69,0.29
53995.19,77.41,0.11,-0.01,7.09,0.57,1485782070,4.89,0.92,70.14,39.49,7.55,0.85
17988.33,63.73,0.59,0.25,8.14,0.87,1011848010,8.49,0.22,71.79,44.35,5.71,0.79
32477.01,70.08,0.95,0.12,12.97,0.69,472950522,7.61,0.79,98.5,49.68,3.6,0.96
32275.22,54.37,0.79,0.17,10.96,0.64,1010296586,4.56,0.24,80.72,23.5,2.99,0.57
37464.21,79.01,0.38,0.16,15.92,0.56,171383146,4.88,0.9,78.79,55.96,7.88,0.87
27519.44,52.88,0.45,0.07,6.91,0.74,243574571,7.16,0.37,73.29,36.86,5.65,0.97
50253.11,69.38,0.8,0.01,17.41,0.99,968131734,8.16,0.2,46.1,39.82,8.02,0.75
27586.78,84.96,0.89,-0.18,9.42,0.68,642755177,5.57,0.37,99.39,36.21,7.15,0.84
20507.34,55.61,0.33,0.07,3.8,0.61,1140228586,7.82,0.59,83.87,34.54,3.51,0.73
7680.02,56.69,0.44,-0.04,9.31,0.7,328351093,5.99,0.08,63.54,53.7,8.25,0.56
25548.14,78.42,0.41,-0.15,6.98,0.58,1247257438,8.22,0.93,93.58,28.9,9.98,0.21
34361.17,60.59,0.26,-0.11,18.68,0.62,189129337,5.53,0.26,85.13,21.94,9.69,0.86
49346.85,76.06,0.63,0.47,6.84,0.69,1330924219,4.12,0.94,45.27,22.94,7.47,0.21
50397.16,79.08,0.8,0.38,14.05,0.89,1286995790,4.07,0.03,79.55,59.53,2.98,0.28
25633.85,74.55,0.77,0.15,16.12,0.66,1093926160,6.7,0.86,44.93,47.34,4.79,0.06
48038.28,65.7,0.72,0.38,5.2,1.0,1282571754,7.15,0.16,61.54,49.84,2.06,0.15
42420.1,62.33,0.41,0.22,15.42,0.99,1401361897,8.94,0.59,55.95,26.58,2.47,0.59
33430.51,66.88,0.19,0.33,7.38,0.87,1351297310,8.74,0.48,67.62,28.17,5.99,0.42
20979.74,54.45,0.32,-0.18,12.67,0.69,19271842,4.47,0.1,51.99,24.57,6.32,0.35
19246.11,74.26,0.49,-0.11,9.18,0.78,887598132,5.44,0.63,72.12,53.97,5.21,0.72
10241.42,65.94,0.54,-0.11,14.15,0.89,296225973,5.71,0.1,90.35,51.89,7.58,0.75
36407.31,54.11,0.14,0.19,10.83,0.64,1033003578,6.49,0.05,70.45,56.76,7.1,0.87
35063.16,52.99,0.65,-0.18,9.0,0.93,647403306,6.91,0.91,51.03,33.18,5.35,0.33
50351.92,52.05,0.29,-0.19,14.38,0.69,85650587,5.7,0.26,81.4,21.73,6.01,0.77
49714.62,81.83,0.15,-0.13,8.61,0.81,1462842921,6.63,0.72,81.87,45.65,9.91,0.94
39562.57,75.64,0.5,-0.06,3.96,0.89,485189661,8.72,0.02,95.3,52.6,8.78,0.13
5909.84,78.0,0.63,0.37,5.17,0.86,601399339,8.93,0.16,54.37,23.92,4.57,0.18
1563.93,70.43,0.09,0.07,18.06,0.74,371793018,4.35,0.08,71.26,49.96,8.38,0.05
26841.87,63.08,0.28,0.2,12.84,0.52,563843604,5.06,0.01,43.91,57.59,4.74,0.52
45632.18,75.94,0.48,0.47,15.07,0.51,1452082826,6.11,0.69,75.72,48.54,2.91,0.76
49477.15,52.43,0.23,0.17,2.13,0.69,809559516,4.4,0.22,77.53,35.61,7.31,0.69
6036.76,60.11,0.91,0.43,12.5,0.8,1050498577,4.25,0.33,87.64,25.52,8.91,0.63
19285.86,59.65,0.18,0.29,19.33,0.89,834054738,7.1,0.81,84.32,22.97,3.14,0.68
15917.19,54.26,0.5,0.01,12.9,0.55,4499219,4.16,0.43,85.05,41.31,7.13,0.49
8748.07,53.47,0.76,0.11,9.74,0.63,793498244,6.83,0.18,61.69,28.97,9.45,0.42
9830.73,71.8,0.03,0.41,12.06,0.69,1277240224,7.08,0.08,93.96,30.92,8.81,0.34
57988.28,66.29,0.53,-0.19,19.56,0.74,1176708451,7.36,0.2,66.1,25.78,5.57,0.5
18905.24,75.26,0.35,-0.16,6.04,0.77,81078376,5.45,0.77,96.33,57.89,6.38,0.73
16920.17,80.21,0.8,0.22,14.2,0.8,1401803632,6.97,0.83,71.36,40.58,5.93,0.55
21859.38,61.83,0.01,0.06,13.35,0.91,938134746,5.33,0.98,54.78,36.53,3.89,0.81
43166.56,79.97,0.23,0.45,8.64,0.86,863688370,6.34,0.29,53.46,27.28,4.75,0.12
35370.68,58.01,0.66,0.44,13.41,0.76,421082702,7.07,0.66,84.55,23.18,5.03,0.66
4164.08,74.0,0.56,-0.15,15.5,0.59,1359627788,5.91,0.91,47.11,53.33,7.96,0.06
55303.0,71.32,0.72,0.04,7.92,0.73,1275278302,5.99,0.49,75.3,30.51,5.76,0.03
1342.42,76.1,0.9,0.21,19.89,0.71,815165131,4.09,0.22,74.31,23.73,9.6,0.36
6302.82,71.02,0.2,0.26,19.67,0.85,909251892,4.9,0.38,87.97,58.69,2.63,0.83
5526.91,67.2,0.6,0.35,7.29,0.84,730617718,6.75,0.62,69.43,26.58,5.23,0.2
20419.07,51.15,0.82,0.27,13.75,0.78,947004194,7.53,0.99,68.42,53.21,8.0,0.24
19510.38,83.09,0.19,0.0,3.0,0.94,1063831078,4.54,0.66,73.1,51.62,5.99,0.87
11598.4,56.92,0.48,0.42,11.31,0.7,880015856,7.55,0.37,58.97,42.96,5.11,0.15
